LIO TARGET EVENT PIPELINE - US - UK - EU/DACH  |  compiled 2026-07-20  |  Priorities: P1 must-own (highest ICP density x strategic leverage) - P2 strong fit (selective sponsor/attend) - P3 opportunistic/intel/monitor  |  ICP density = seniority concentration x ICP-segment match x decision power in room  |  companion to the Event History sheet  |  REFRESHED 2026-08-31: Owner / Next action / Next action due / Timing columns added; every row re-dated against the September 2026 calendar
"OWNER LEGEND — Keil (CEO) · Wagner (COO) · Heinzmann (CTO) · Petras (Head of US Growth) · Schmid (VP Sales) · Nusmeier (Head of Partnerships) · Stäbe (Events, in-house event lead) · PMM (product marketing / analyst relations) · DACH sales lead · EU AE. P1 owners are taken from the 'Team on site' column of the P1 Budget & Staffing tab (first-named lead). P2/P3 owners are PROPOSED DEFAULTS derived from the staffing rules in that tab (US pod -> Petras/Schmid, DACH fairs -> DACH sales lead/Stäbe, analyst events -> PMM, partner/vendor turf -> Nusmeier/PMM) — they are not decisions on record and need confirming.  |  TIMING LEGEND — ACT NOW (event within 30 days) · LAPSED (a booking deadline passed, still recoverable) · MISSED (the 2026 edition has gone) · DECIDE IN SEP (Oct-Nov event, booking decision due now) · Q4-2026 · 2027 planning · Monitor / intel."
#,Event,Region,Organizer,Next edition,City,Format,Scale,Audience / seniority,ICP segment(s) hit,ICP density (why),Priority,Lio status,Sponsorship,Price signal,Why Lio should be there,Source,Owner,Next action,Next action due,Timing (as of 2026-08-31)
37,NASCES 2026 (North American Supply Chain Executive Summit),US,Executive Platforms,"Sep 21-23, 2026 (confirmed)",Las Vegas (Red Rock),Executive summit with 1:1s,80%+ Director+,CSCO/CPO/EVP-SVP incl. sourcing & procurement,US F500 (supply-chain-adjacent),MEDIUM-HIGH,P2,NET-NEW (same organizer as NAPES),Yes,Summit tiers,"Same organizer as NAPES — negotiate a two-event bundle; procurement is a track, CSCO/COO presence covers the BPO-owner persona.",executiveplatforms.com/nasces/,Petras,The NAPES+NASCES bundle must be agreed with Executive Platforms before this event runs,2026-09-08,ACT NOW - event in 21d
38,HFS Research Summits (NYC),US,HFS Research,Next NYC edition TBA (Spring 2026 was May 13-14),New York,Boutique analyst summit,~200 est.,Services/GBS buyers + BPO ecosystem analysts,GBS/BPO + analyst relations,MEDIUM-HIGH — HFS coined 'services-as-software',P2,NET-NEW,Yes,Boutique tiers,HFS's 'services-as-software' thesis IS Lio's category — getting into their research and on their NYC stage arms every BPO-displacement deal with analyst cover.,hfsresearch.com/ny-spring-summit-2026/,PMM,Watch for the next NYC date; analyst-relations play,2026-11-30,Monitor
39,Procurement & Supply Chain LIVE: London Summit + Global Awards,UK,BizClik,"Sep 8-9, 2026 (confirmed)",London (QEII Centre),Hybrid expo-conference + awards,"1,000+ att., 100+ speakers","Senior execs incl. CPOs (Visa, AstraZeneca caliber); mixed floor",UK/EU indirect + media reach,MEDIUM — volume + amplification over pure density,P2,Partially (attends Chicago edition; London net-new),Yes (+ awards tables),Low-hundreds £ tickets; mid sponsor,"Anchor of the September London week: Summit Sep 8-9 + CIPS Awards Sep 10 = one trip, two audiences, plus BizClik's media machine (Procurement Magazine) amplifying everything. Enter the Global Awards — cheap third-party validation.",supplychaindigital.com/events/procurement-supply-chain-live,Wagner,Decide walk-in attendance vs skip - the London week (Sep 3 KonnectHouse + Sep 8-9 LIVE + Sep 10 CIPS) is one trip,2026-09-02,ACT NOW - event in 8d
40,CIPS Excellence in Procurement & Supply Awards,UK,CIPS,"Sep 10, 2026 (confirmed)",London (JW Marriott Grosvenor House),Black-tie awards gala,Hundreds of guests,UK profession's night-of-nights; heads of procurement across industries,UK enterprise procurement,MEDIUM-HIGH — relationship density in one evening,P2,NET-NEW,"Yes — tables £7,000-7,500; tickets £445-495",Table-level entry,"A £7K table seats Lio next to UK heads of procurement on their biggest night — pure relationship play, same week as the London Summit. Enter a customer story for an award.",excellenceawardscips.com/2026/en/page/awards-night,Stäbe (Events),Confirm whether the ceremony admits non-shortlisted attendees; either way diarise the 2027 entry window,2026-09-02,ACT NOW - event in 10d
41,Big Ideas Summit London 2027,UK,Procurious,"~Mar 2027 (annual; 2026 was Mar 12, Soho Hotel)",London (Soho Hotel),Boutique summit,100+ leaders,CPO-concentrated; 2026 theme 'AI: Show Me the Money',UK CPOs,"MEDIUM-HIGH — small room, right titles, AI agenda",P2,NET-NEW,"Yes (GEP, Amazon Business sponsored 2026)",Boutique tiers,100-person room of UK CPOs debating AI business cases — Lio's ROI-guarantee story ($10M Challenge) is built for exactly this stage.,engage.procurious.com/big-ideas-summit-london,EU AE,Watch for the 2027 date (2026 was Mar 12),2026-12-31,2027 planning
42,GSA Festival of Sourcing,UK,Global Sourcing Association UK,"Jul 29, 2026 edition PASSED (missed, unbooked); 2027 edition TBA","Esher, Surrey (Sandown Park)",1-day conference + social,UK sourcing/GBS community,UK outsourcing/GBS buyers — the BPO-contract community,GBS/BPO displacement (UK),MEDIUM-HIGH — the UK BPO-buyer watering hole,P2,NET-NEW - 2026 edition missed,Yes,£165-570 tickets,Happening in 9 days — even a walk-the-floor attendance plants the flag with the UK's BPO-buyer community; sponsor properly in 2027. GSA UK Awards (autumn) is the relationship follow-up.,gsa-uk.com/event-6477604,Stäbe (Events),"MISSED: the Jul 29, 2026 edition passed unbooked - get on the GSA 2027 list and diarise the early-bird",2026-09-30,MISSED - 2026 edition gone
43,Gartner Finance Symposium/Xpo (UK),UK,Gartner,Annual ~Jun (2026 was Jun 8-9); 2027 TBA,London (InterContinental O2),Analyst symposium,CFO-scale,CFOs/finance execs of large enterprises — the BPO-contract signatories,CFO/COO wedge,"MEDIUM — right budget owner, procurement not core agenda",P2,NET-NEW,Yes (premium),Premium Gartner pricing,The CFO owns the BPO line. 'Kill the BPO contract with agents at 7% of cost' is a CFO pitch — this is where EMEA CFOs gather with analyst framing. US twin: Gartner Finance Symposium National Harbor Jun 2-4 2027.,gartner.com/en/conferences/emea/cfo-finance-uk,PMM,CFO-wedge play - watch for the 2027 date,2027-01-31,2027 planning
44,Economist Impact Sustainability Week (Procurement Leaders Lunch Club),UK,Economist Impact,"Mar 1-3, 2027 (confirmed)",London (InterContinental O2),Multi-track exec conference + invite lunch club,Large; C-suite,Global 2000 C-suite + procurement-transformation owners; dedicated procurement-leaders lunch format,UK/EU enterprise + ESG angle,MEDIUM,P2,NET-NEW,Yes (premium tiers),Premium,The only Economist-tier London platform with an explicit procurement-leader format; CSRD/supplier-data pain is an agent use case. Brand-elevating audience for the Series-B-era narrative.,events.economistenterprise.com/sustainability-week/,PMM,Decide attend vs skip once the Q1-2027 budget is set,2026-11-30,2027 planning
45,PSI - Procurement Strategies & Innovation (ex-eWorld),UK,Revolution Events,"Mar 2, 2027 (confirmed; now once-yearly)",London (De Vere Grand Connaught Rooms),1-day free-for-practitioners expo,Volume format (25-yr franchise),"Mid-to-senior UK practitioners, indirect-heavy",UK mid-market/enterprise volume,"MEDIUM — pipeline volume, not exec density",P2,NET-NEW,Yes,Free buyer tickets; mid sponsor cost,Cheap UK pipeline volume with built-in 1:1 vendor meetings and demo-friendly format — feeds the SDR machine between the premium anchors.,procurement.events/,EU AE,"CONFLICT: overlaps Economist Sustainability Week (Mar 1-3, 2027) - pick one UK Q1 play",2026-11-30,2027 planning - conflict
46,KonnectHouse - Agentic AI in Procurement (Frankfurt + London),DACH,KonnectHouse,"London Sep 3, 2026 (confirmed); Frankfurt ~Jan 2027 (est.)",London / Frankfurt,1-day interactive summit,~80-150 est.,Procurement digitalization leaders + AI vendors; CIPS CPD credits,DACH + UK digitalization leads,MEDIUM — category-native boutique,P2,"Already attends (Frankfurt + NYC 2026, Nusmeier)",Yes,Low-mid,"Category-native stage that has already published Lio-Walmart content — renew Frankfurt, add the London Sep 3 edition to open the September UK week.",konnecthouse.com/events/,Nusmeier,"Confirm London attendance/speaking (event Sep 3), then lock the Frankfurt ~Jan 2027 edition",2026-09-01,ACT NOW - event in 3d
47,SAP Connect Day Vienna - Spend Management track,DACH,SAP Austria,Annual ~Mar (2026 was Mar 24); 2027 TBA,Vienna (Austria Center),1-day regional SAP event,Hundreds,SAP DACH install base — procurement + finance,Primary DACH (SAP estates),MEDIUM — install-base access via partner route,P2,NET-NEW (Microsoft partner today; SAP relationship strategic),Partner slots,Low,Lio's ICP is SAP-centric and Lio's pitch is 'agents operating your SAP' — partner-track presence at SAP regional events legitimizes coexistence and harvests Ariba-fatigued accounts. Watch the partnership-risk flag in KB file 08.,sap.com/austria/events/2026-03-24-at-sap-connect-day-vienna-2026.html,Nusmeier,Explore the SAP-ecosystem partner angle separately from event spend (Microsoft partner today),2026-11-30,2027 planning
48,Zip Forward NYC 2026 + Zip Forward Europe 2027,US,Zip (competitor),"NYC: Sep 16-17, 2026 (confirmed); Europe ~Apr 2027 London",New York / London,Competitor user conference,300+ (Europe 2026),Finance + procurement leaders evaluating orchestration/agents,Competitive turf,HIGH density / NO access — competitor-owned,P3,Intel only,No,—,Closest competitor's stage ('Agents of Change'). Send team for positioning intel + periphery networking; counter-program with a same-week dinner for overlapping prospects.,zip.com/forward-nyc,PMM,Intel only - assign one person to monitor Zip's agentic messaging remotely; never sponsor,2026-09-14,ACT NOW - intel
49,"Coupa Inspire Americas 2027 + World Tour (Frankfurt, London)",US,Coupa (incumbent),Americas ~May 2027 Las Vegas TBA; Frankfurt ~Jun; London ~Jun,Las Vegas / Frankfurt / London,Incumbent mega-conference + roadshows,Several thousand (Americas),Coupa install base = F500 indirect-spend owners,Displacement pipeline,HIGH density / partner-gated,P3,Intel + displacement scouting,Partner ecosystem only,Roadshows free,"Post-Tonkean, Coupa's agent story competes head-on. The World Tour roadshows are free, half-day windows into dissatisfied-Coupa accounts — cheap displacement scouting.",inspire.coupa.com/,PMM,"Intel and displacement scouting; monitor remotely, never sponsor",2027-01-31,Monitor / intel
50,SAP Connect Las Vegas 2026 (incl. Spend Connect) + SAP Sapphire 2027 (Orlando May 24-26 / Barcelona Jun 1-3),US,SAP (incumbent),"Oct 5-7, 2026; Sapphire May-Jun 2027",Las Vegas / Orlando / Barcelona,Incumbent user conferences,Thousands-15K+,Ariba/Fieldglass install base; CIO/CFO/COO at Sapphire,Displacement + coexistence partner angle,HIGH density / partner-gated,P3,Intel; partner-angle exploration,Partner ecosystem,—,Joule Intake Agent went GA Jun 2026 — SAP's counter-move must be tracked at the source. Long-game: an SAP-ecosystem partnership would neutralize the biggest bundling threat.,sap.com/events/,Nusmeier,Partner-angle only - decide whether a partnership conversation justifies attendance,2026-09-15,DECIDE IN SEP
51,"Ivalua NOW EMEA 2027 / Jaggaer REV 2027 / Zycus Horizon US (Sep 21-23, 2026, Beaver Creek CO)",EU,Ivalua / Jaggaer / Zycus (competitors),NOW ~Mar 2027 Paris; REV ~May 2027; Horizon Sep 2026,Paris / Barcelona / Beaver Creek,Competitor user conferences,"1,500+ (NOW); 200+ (Horizon)",Respective install bases; Jaggaer = DACH-heavy industrials,Displacement intel,MEDIUM-HIGH / no access,P3,Intel only,No,—,Jaggaer's DACH-industrial base overlaps Lio's primary ICP most directly; Zycus pushes the same 'agentic' story — monitor claims and displacement openings.,emea.ivaluanow.com/,PMM,"Intel only - monitor remotely (Zycus Horizon runs Sep 2026), never sponsor",2026-09-30,Monitor / intel
52,IZB 2026 (Internationale Zuliefererbörse),DACH,Wolfsburg AG,"Oct 27-29, 2026 (confirmed; biennial)",Wolfsburg (Allerpark),Automotive supplier trade fair,Thousands,OEM purchasing organizations (VW home turf) + supplier CPOs,Primary DACH (automotive),MEDIUM — purchasing orgs on the floor,P3,NET-NEW (walk-the-floor),Exhibitor possible,Low (attend),No booth needed: walk the floor to meet automotive purchasing organizations en masse; feed the auto-cluster ABM list.,izb-online.com/,DACH sales lead,Walk-the-floor only - decide whether 1-2 AEs attend this biennial edition,2026-09-30,DECIDE IN SEP
53,BVL Supply Chain CX 2026,DACH,BVL,"Oct 21-22, 2026 (confirmed)",Berlin (Estrel),SCM congress + expo,"~2,000 est.",SCM leadership (procurement-adjacent),Adjacent SCM,MEDIUM-LOW — SCM skew,P3,NET-NEW,Yes,Mid,Only for supply-chain-adjacent CPO/COO overlap and the logistics-agent expansion story (Clubhouse already demoed logistics agents).,cx.bvl.de/,DACH sales lead,Decide attend vs skip; adjacent logistics-agent audience,2026-09-30,DECIDE IN SEP
54,Sustainability Summit Hamburg 2027,DACH,Trailblazer Summits,"Jun 23-24, 2027 (co-located w/ Procurement Summit)",Hamburg,Sustainability expo,"2,000+ visitors",Sustainability + supply chain officers,ESG-adjacent,MEDIUM-LOW,P3,Piggyback (booth already next door),Yes,Marginal cost,Zero-marginal-cost adjacency: CSRD/LkSG supplier-data compliance is an agent use case — cover from the existing Procurement Summit booth.,sustainabilitysummit.eu/,Stäbe (Events),Piggyback from the Procurement Summit booth at zero marginal cost - no separate booking,2027-03-31,2027 planning
55,marcus evans CPO Summit / IQPC CPO Select,EU,marcus evans / IQPC,Rolling cohorts; 2027 editions TBA,Montreux-style venues / various,Invite-only pay-per-meeting formats,20-40 CPOs per cohort,Pre-scheduled vendor-CPO 1:1s,Primary ICP CPOs (paid access),HIGH per-head / pay-to-play,P3,NET-NEW (request quotes),Yes (that's the product),Per-meeting pricing — model CAC first,Pure meeting-buying. Run the CAC math against Principals-dinner cost per CPO conversation before committing; useful surge capacity when pipeline targets slip.,marcusevans.com/summit/cpo/,Stäbe (Events),Request pay-per-meeting quotes and compare cost-per-CPO-meeting against the dinner format,2026-10-31,Q4-2026
56,Richmond Logistics & Supply Chain Forum / State of Flux SRM Summit / GSA UK Awards / CIPS Futures Conference,UK,Richmond Events / State of Flux / GSA / CIPS,Belfry ~May 2027; London autumn 2026 TBA; autumn 2026; ~Jul 2027,UK various,1:1 forum / research summit / awards / association conference,150-200 / boutique / hundreds / all-levels,SC+procurement heads / SRM leaders / GBS providers+buyers / CIPS membership,UK secondary formats,MEDIUM-LOW to MEDIUM,P3,NET-NEW,Yes (various),Low-mid,Second-line UK options once the anchor + September-week strategy saturates; Richmond's 1:1 model and State of Flux's SRM research crowd are the pick of this bundle.,richmondevents.com/find-a-forum,EU AE,Request quotes; low priority until the UK anchor (WPC) is booked,2026-12-31,Monitor
57,Fortune COO Summit / Argyle NYC dinners / American Supply Chain Summit / Reuters SC USA-Europe,US,Fortune / Argyle / Generis / Reuters,COO ~Jun 2027 Scottsdale; Argyle Sep 17 2026 NYC; ASCS ~Apr 2027 Dallas; Reuters superseded,Various,C-suite invite formats / dinners / hosted-buyer summits,Small-300+,COOs / F1000 members / SC+ops execs,COO/CFO wedge + adjacents,MEDIUM-LOW to MEDIUM,P3,NET-NEW,Partner/paid models,Varies,COO = GBS owner (Fortune's room is the priciest but purest); Argyle's Sep 17 NYC dinner is a near-free NYC-pod tactic; Reuters' old SC USA is superseded by their new Sourcing & Procurement event (see P2).,fortunemedia.mediaroom.com/,Schmid,The Argyle NYC dinner is Sep 17 - decide attend vs skip; the Fortune COO Summit is a Jun 2027 ABM play,2026-09-07,ACT NOW - event in 17d
58,"ProcureCon Marketing (Nov 9-11, 2026, Phoenix) / ProcureCon IT Sourcing 2027",US,WBR,Nov 2026 / 2027 TBA,Phoenix / TBA,Category conferences,Category-scale,Marketing + IT sourcing category leads,US indirect categories,MEDIUM-LOW — category depth,P3,NET-NEW,Yes,Standard WBR,Category expansions of the WBR relationship once the core US motion is saturated; IT-sourcing skews earlier-adopter.,procurecondm.wbresearch.com/,Schmid,Decide whether any adjacent ProcureCon edition earns a walk-in; fold into the WBR portfolio talks,2026-09-30,Q4-2026
59,"Workday Rising (Oct 12-15, 2026) / Oracle AI World (Oct 25-28, 2026)",US,Workday / Oracle,"Oct 2026, Las Vegas",Las Vegas,Mega vendor conferences,10K-25K+,HR/finance/IT; CIO-centric; small procurement tracks,ERP-adjacent,LOW procurement density,P3,Skip unless ABM targets attend,Expo,"$1,699-2,399",Only justified by named-account ABM (Workday/Oracle-shop targets); otherwise skip — procurement density too diluted.,rising.workday.com/us.html,PMM,"Skip unless named ABM targets are confirmed attending - check the attendee list, then decide",2026-09-20,DECIDE IN SEP
60,DORMANT / MONITOR: CPO Rising Summit (Ardent) · IQPC CPO Exchange · Hackett US conference · StrategieTage Einkauf,US,Ardent / IQPC / Hackett / business factors,No 2026-27 editions found (Hackett runs London Oct 7-8 2026 invite-only),—,Formerly exec summits / 1:1 formats,—,CPO formats now inactive or unverified,—,N/A — dormant,P3,Monitor,—,—,Free budget: four classic CPO formats show no live US editions. Reallocate to SIG/SSON/Everest cluster; pursue Hackett via analyst relations instead (their benchmarks price the BPO deals Lio displaces).,ardentpartners.com/cpo-rising-summit/,PMM,"Re-verify quarterly whether any dormant format returns (CPO Rising, CPO Exchange, Hackett)",2026-10-31,Monitor

SUMMARY & STRATEGY BRIEF
Counts: 60 rows | P1: 16 | P2: 31 | P3: 13 | Net-new opportunities: 38
"WHY THESE ROOMS (the overall brief): Lio sells labor replacement, not software seats - so the target rooms are (1) where DACH industrial CPOs gather in German (BME/Handelsblatt/Hamburg: trust-based, family-owned buying culture), (2) where BPO contract owners gather (SSON/SIG/Everest/GSA/Deloitte SSC: the 93%-cheaper wedge needs the people who sign outsourcing renewals), (3) where US indirect F500 concentrate (ProcureCon/DPW NY/NAPES/APC: the expansion mandate behind the Series A), and (4) where analysts set buying criteria (Gartner/Everest/HFS: enterprise buyers de-risk agentic AI through analysts - presence there converts skepticism into shortlists)."
URGENT (next 14 days): DPW Amsterdam 2026 award application closes Jul 24 - decide whether to compete above Growth-Stage band. SSON San Diego early-bird ends Jul 24 - bundle-negotiate with Orlando renewal. GSA Festival of Sourcing is Jul 29 - cheap UK flag-plant. BME Praxisforum Indirekter Einkauf early-bird ends Jul 31.
"CLUSTER PLAYS: (a) Late-Sep 2026 collision - ProcureCon EU Cologne (Sep 22-24) + ProcureCon East Boston (Sep 28-30) + DPW Amsterdam (Sep 30-Oct 1) in 10 days: split founders/GTM teams deliberately. (b) Berlin November week - Maschinenbau-Gipfel (Nov 10-11) + SSOW DACH (Nov 17-19) + BME Symposium (Nov 18-19): one city, three P1/P2 rooms, one Principals dinner covers all. (c) London September week - KonnectHouse (Sep 3) + P&SC LIVE (Sep 8-9) + CIPS Awards (Sep 10): one trip opens the UK market."
"SIGNATURE MOVE TO SCALE: the conference-sidecar private dinner (Principals/CPO-dinner format) has near-zero incremental cost and C-level yield - attach one to EVERY P1 event above; target FS CPOs at WPC, owners at Maschinenbau-Gipfel, GBS heads at SSOW editions."
"VENDOR-TURF RULE: never sponsor competitor stages (Zip/Coupa/SAP/Ivalua/Jaggaer/Zycus) - attend for intel, scout displacement accounts at free roadshows, counter-program with same-week dinners. Exception: explore SAP ecosystem partner angle (Lio's 'operate their software' posture depends on SAP detente)."
"DATA CAVEATS: attendee counts and prices marked est. are estimates; inaugural events (Reuters S&P USA) unproven; dormant formats (CPO Rising, CPO Exchange) verified inactive as of Jul 2026; dates marked TBA follow annual patterns - verify at booking. Full sourcing in the research files."
